CalcTime,EI_0.CalcPotential,EI_0.CalcCurrent,Correctedtime,Index
6.130122984522927,0.349700927734375,3.520507812500001e-05,0.0,1
6.180122984396689,0.349761962890625,3.520507812500001e-05,0.049999999873762135,2
6.2301229842704515,0.3497314453125,3.52020263671875e-05,0.09999999974752427,3
6.280122984144214,0.34979248046875,3.52020263671875e-05,0.1499999996212864,4
6.330122984017976,0.34979248046875,3.52020263671875e-05,0.19999999949504854,5
6.380122983891738,0.34881591796875,3.53271484375e-05,0.24999999936881068,6
6.4301229837655,0.34967041015625,3.53271484375e-05,0.2999999992425728,7
6.480122983639262,0.349700927734375,3.53271484375e-05,0.34999999911633495,8
6.530122983513024,0.34967041015625,3.53271484375e-05,0.3999999989900971,9
6.5801229833867865,0.34967041015625,3.53271484375e-05,0.4499999988638592,10
6.630122983260549,0.349639892578125,3.53271484375e-05,0.49999999873762135,11
6.680122983134311,0.349609375,3.53271484375e-05,0.5499999986113835,12
6.730122983008073,0.349609375,3.53271484375e-05,0.5999999984851456,13
6.780122982881835,0.34967041015625,3.53271484375e-05,0.6499999983589078,14
6.830122982755597,0.349639892578125,3.53271484375e-05,0.6999999982326699,15
6.880122982629359,0.349639892578125,3.53271484375e-05,0.749999998106432,16
6.930122982503121,0.349700927734375,3.53271484375e-05,0.7999999979801942,17
6.9801229823768836,0.349639892578125,3.53271484375e-05,0.8499999978539563,18
7.030122982250646,0.34967041015625,3.53271484375e-05,0.8999999977277184,19
7.080122982124408,0.349639892578125,3.53271484375e-05,0.9499999976014806,20
7.13012298199817,0.349639892578125,3.53271484375e-05,0.9999999974752427,21
7.180122981871932,0.349639892578125,3.53271484375e-05,1.0499999973490048,22
7.230122981745694,0.349609375,3.53271484375e-05,1.099999997222767,23
7.280122981619456,0.34967041015625,3.53271484375e-05,1.1499999970965291,24
7.3301229814932185,0.34967041015625,3.53302001953125e-05,1.1999999969702912,25
7.380122981366981,0.34967041015625,3.53271484375e-05,1.2499999968440534,26
7.430122981240743,0.349639892578125,3.53271484375e-05,1.2999999967178155,27
7.480122981114505,0.349609375,3.53271484375e-05,1.3499999965915777,28
7.530122980988267,0.349639892578125,3.53302001953125e-05,1.3999999964653398,29
7.580122980862029,0.34967041015625,3.53302001953125e-05,1.449999996339102,30
7.630122980735791,0.34967041015625,3.53271484375e-05,1.499999996212864,31
7.6801229806095535,0.34967041015625,3.53271484375e-05,1.5499999960866262,32
7.730122980483316,0.34967041015625,3.53271484375e-05,1.5999999959603883,33
7.780122980357078,0.349639892578125,3.53302001953125e-05,1.6499999958341505,34
7.83012298023084,0.34967041015625,3.53302001953125e-05,1.6999999957079126,35
7.880122980104602,0.34967041015625,3.53302001953125e-05,1.7499999955816747,36
