SetpointApplied,CalcTime,EI_0.CalcCurrent,ScanNumber,EI_0.CalcPotential,Index
0.00244140625,5.926990985035786,2.628173828125e-07,1,0.0025146484375000028,1
0.0048828125,5.951404984974147,4.7821044921875e-07,1,0.0049652099609374944,2
0.00732421875,5.975818984912507,7.577514648437499e-07,1,0.0074707031250000056,3
0.009765625,6.000232984850868,9.7137451171875e-07,1,0.009915161132812503,4
0.01220703125,6.0246469847892286,1.24725341796875e-06,1,0.0123443603515625,5
0.0146484375,6.049060984727589,1.4678955078125e-06,1,0.014788818359374997,6
0.01708984375,6.07347498466595,1.73553466796875e-06,1,0.017214965820312497,7
0.01953125,6.09788898460431,1.96533203125e-06,1,0.019647216796875006,8
0.02197265625,6.122302984542671,2.2216796875e-06,1,0.022082519531249997,9
0.0244140625,6.146716984481031,2.464599609375e-06,1,0.0245208740234375,10
0.02685546875,6.171130984419392,2.70751953125e-06,1,0.026971435546875006,11
0.029296875,6.195544984357753,2.965087890625e-06,1,0.029397583007812506,12
0.03173828125,6.219958984296113,3.193359375e-06,1,0.031838989257812506,13
0.0341796875,6.244372984234474,3.4625244140625e-06,1,0.034280395507812506,14
0.03662109375,6.268786984172834,3.6825561523437504e-06,1,0.0367462158203125,15
0.0390625,6.293200984111195,3.9575195312500005e-06,1,0.03916015625,16
0.04150390625,6.3176149840495555,4.17205810546875e-06,1,0.041607666015625,17
0.0439453125,6.342028983987916,4.4503784179687505e-06,1,0.044049072265625,18
0.04638671875,6.366442983926277,4.66766357421875e-06,1,0.046496582031250004,19
0.048828125,6.390856983864637,4.939270019531251e-06,1,0.048928833007812506,20
0.05126953125,6.415270983802998,5.1635742187500005e-06,1,0.0511474609375,21
0.0537109375,6.439684983741358,5.4290771484375e-06,1,0.053558349609375,22
0.05615234375,6.464098983679719,5.6640625000000005e-06,1,0.0560302734375,23
0.05859375,6.4885129836180795,5.914306640625001e-06,1,0.05841064453125,24
0.06103515625,6.51292698355644,6.161499023437501e-06,1,0.060882568359375,25
0.0634765625,6.537340983494801,6.396484375e-06,1,0.063323974609375,26
0.06591796875,6.561754983433161,6.661987304687501e-06,1,0.06573486328125,27
0.068359375,6.586168983371522,6.884765625000001e-06,1,0.068145751953125,28
0.07080078125,6.610582983309882,7.1563720703125004e-06,1,0.07061767578125,29
0.0732421875,6.634996983248243,7.373046875e-06,1,0.07305908203125,30
0.07568359375,6.6594109831866035,7.65380859375e-06,1,0.07550048828125,31
0.078125,6.683824983124964,7.864379882812501e-06,1,0.07794189453125,32
0.08056640625,6.708238983063325,8.142089843750001e-06,1,0.080352783203125,33
0.0830078125,6.732652983001685,8.36181640625e-06,1,0.08282470703125,34
0.08544921875,6.757066982940046,8.633422851562501e-06,1,0.08526611328125,35
0.087890625,6.781480982878406,8.8592529296875e-06,1,0.087646484375,36
0.09033203125,6.805894982816767,9.11865234375e-06,1,0.090087890625,37
0.0927734375,6.8303089827551275,9.359741210937501e-06,1,0.092529296875,38
0.09521484375,6.854722982693488,9.603881835937501e-06,1,0.094970703125,39
0.09765625,6.879136982631849,9.860229492187502e-06,1,0.097412109375,40
0.10009765625,6.903550982570209,1.0089111328125e-05,1,0.099853515625,41
0.1025390625,6.92796498250857,1.0357666015625001e-05,1,0.102294921875,42
0.10498046875,6.95237898244693,1.05804443359375e-05,1,0.10467529296875,43
0.107421875,6.976792982385291,1.085205078125e-05,1,0.107147216796875,44
0.10986328125,7.001206982323652,1.1065673828125001e-05,1,0.10955810546875,45
0.1123046875,7.025620982262012,1.1346435546875e-05,1,0.11199951171875,46
0.11474609375,7.050034982200373,1.15631103515625e-05,1,0.11444091796875,47
0.1171875,7.074448982138733,1.1834716796875001e-05,1,0.116912841796875,48
0.11962890625,7.098862982077094,1.20574951171875e-05,1,0.11932373046875,49
0.1220703125,7.1232769820154545,1.2322998046875001e-05,1,0.121734619140625,50
0.12451171875,7.147690981953815,1.2557983398437501e-05,1,0.12420654296875,51
0.126953125,7.172104981892176,1.28082275390625e-05,1,0.126617431640625,52
0.12939453125,7.196518981830536,1.3055419921875e-05,1,0.129058837890625,53
0.1318359375,7.220932981768897,1.3293457031250001e-05,1,0.13153076171875,54
0.13427734375,7.245346981707257,1.3555908203125001e-05,1,0.13397216796875,55
0.13671875,7.269760981645618,1.3781738281250002e-05,1,0.1363525390625,56
