t_s,E_before_V,I_A,E_after_V
15.671139,0.553222656,8.58154297e-05,0.553222656
15.804973,0.553222656,8.58154297e-05,0.553222656
15.974431,0.512969971,8.17260742e-05,0.512969971
16.108895,0.512969971,8.17260742e-05,0.512969971
16.276243,0.482788086,7.8704834e-05,0.482788086
16.409997,0.482788086,7.8704834e-05,0.482788086
16.579729,0.452545166,7.56530762e-05,0.452545166
16.713404,0.452545166,7.56530762e-05,0.452545166
16.876435,0.422485352,7.25708008e-05,0.422485352
17.010505,0.422485352,7.25708008e-05,0.422485352
17.173698,0.392211914,6.9519043e-05,0.392211914
17.312881,0.392211914,6.9519043e-05,0.392211914
17.480734,0.362060547,6.64672852e-05,0.362060547
17.615529,0.362060547,6.64672852e-05,0.362060547
17.778240,0.331878662,6.34155273e-05,0.331878662
17.922695,0.331878662,6.34155273e-05,0.331878662
18.085330,0.301727295,6.03637695e-05,0.301727295
18.219666,0.301727295,6.03637695e-05,0.301727295
18.383447,0.271484375,5.73120117e-05,0.271484375
18.522240,0.271484375,5.73120117e-05,0.271484375
18.691928,0.241363525,5.42602539e-05,0.241363525
18.826346,0.241363525,5.42602539e-05,0.241363525
18.993925,0.211120605,5.12084961e-05,0.211120605
19.127920,0.211120605,5.12084961e-05,0.211120605
19.291006,0.180938721,4.81689453e-05,0.180938721
19.434180,0.180938721,4.81689453e-05,0.180938721
19.602496,0.160888672,4.61364746e-05,0.160888672
19.765230,0.160888672,4.61364746e-05,0.160888672
19.898878,0.120666504,4.20715332e-05,0.120666504
20.039134,0.120666504,4.20715332e-05,0.120666504
20.202436,0.10055542,4.00421143e-05,0.10055542
20.336309,0.10055542,4.00421143e-05,0.10055542
20.504281,0.0703430176,3.69903564e-05,0.0703430176
20.638274,0.0703430176,3.69903564e-05,0.0703430176
20.807846,0.030291748,3.29345703e-05,0.030291748
20.940934,0.030291748,3.29345703e-05,0.030291748
21.100829,0.000115966797,2.98858643e-05,0.000115966797
21.239342,0.000115966797,2.98858643e-05,0.000115966797
21.407382,-0.030065918,2.68341064e-05,-0.030065918
21.575169,-0.030065918,2.68341064e-05,-0.030065918
21.720230,-0.060333252,2.37823486e-05,-0.060333252
21.878509,-0.060333252,2.37823486e-05,-0.060333252
22.012597,-0.0804748535,2.17468262e-05,-0.0804748535
22.151530,-0.0804748535,2.17468262e-05,-0.0804748535
22.320418,-0.110595703,1.87011719e-05,-0.110595703
22.454212,-0.110595703,1.87011719e-05,-0.110595703
22.617158,-0.150878906,1.4642334e-05,-0.150878906
22.751419,-0.150878906,1.4642334e-05,-0.150878906
22.914386,-0.181060791,1.15966797e-05,-0.181060791
23.082554,-0.181060791,1.15966797e-05,-0.181060791
23.231871,-0.201080322,9.5703125e-06,-0.201080322
23.386011,-0.201080322,9.5703125e-06,-0.201080322
23.529242,-0.241333008,5.50537109e-06,-0.241333008
23.663315,-0.241333008,5.50537109e-06,-0.241333008
23.821322,-0.261566162,3.45855713e-06,-0.261566162
23.965296,-0.261566162,3.45855713e-06,-0.261566162
24.128550,-0.291687012,3.97613525e-07,-0.291687012
24.262273,-0.291687012,3.97613525e-07,-0.291687012
24.430405,-0.33190918,-3.67401123e-06,-0.33190918
24.564491,-0.33190918,-3.67401123e-06,-0.33190918
24.727209,-0.362060547,-6.71691895e-06,-0.362060547
24.866116,-0.362060547,-6.71691895e-06,-0.362060547
25.034638,-0.382080078,-8.75854492e-06,-0.382080078
25.169846,-0.382080078,-8.75854492e-06,-0.382080078
25.337965,-0.422241211,-1.28448486e-05,-0.422241211
25.472064,-0.422241211,-1.28448486e-05,-0.422241211
25.635261,-0.452423096,-1.5914917e-05,-0.452423096
25.773991,-0.452423096,-1.5914917e-05,-0.452423096
25.943788,-0.472412109,-1.79656982e-05,-0.472412109
26.077021,-0.472412109,-1.79656982e-05,-0.472412109
26.239897,-0.492492676,-2.00134277e-05,-0.492492676
26.379179,-0.492492676,-2.00134277e-05,-0.492492676
26.542190,-0.462432861,-1.6973877e-05,-0.462432861
26.675807,-0.462432861,-1.6973877e-05,-0.462432861
26.845380,-0.442382812,-1.4944458e-05,-0.442382812
26.978847,-0.442382812,-1.4944458e-05,-0.442382812
27.147816,-0.402191162,-1.08795166e-05,-0.402191162
27.282119,-0.402191162,-1.08795166e-05,-0.402191162
27.450095,-0.37210083,-7.83691406e-06,-0.37210083
27.584450,-0.37210083,-7.83691406e-06,-0.37210083
27.747113,-0.341949463,-4.80316162e-06,-0.341949463
27.891182,-0.341949463,-4.80316162e-06,-0.341949463
28.044697,-0.311737061,-1.76361084e-06,-0.311737061
28.189051,-0.311737061,-1.76361084e-06,-0.311737061
28.351849,-0.281616211,1.2802124e-06,-0.281616211
28.490952,-0.281616211,1.2802124e-06,-0.281616211
28.660833,-0.251464844,4.32098389e-06,-0.251464844
28.795236,-0.251464844,4.32098389e-06,-0.251464844
28.958155,-0.221405029,7.36694336e-06,-0.221405029
29.125739,-0.221405029,7.36694336e-06,-0.221405029
29.269903,-0.201385498,9.40246582e-06,-0.201385498
29.403786,-0.201385498,9.40246582e-06,-0.201385498
29.567111,-0.171234131,1.24572754e-05,-0.171234131
29.700869,-0.171234131,1.24572754e-05,-0.171234131
29.869094,-0.141082764,1.55212402e-05,-0.141082764
30.003927,-0.141082764,1.55212402e-05,-0.141082764
30.161998,-0.110870361,1.85821533e-05,-0.110870361
30.296886,-0.110870361,1.85821533e-05,-0.110870361
30.464769,-0.0808105469,2.16369629e-05,-0.0808105469
30.598687,-0.0808105469,2.16369629e-05,-0.0808105469
30.767715,-0.0506591797,2.4697876e-05,-0.0506591797
30.901579,-0.0506591797,2.4697876e-05,-0.0506591797
31.071013,-0.0200378418,2.77496338e-05,-0.0200378418
31.214745,-0.0200378418,2.77496338e-05,-0.0200378418
31.378613,0.0101318359,3.07952881e-05,0.0101318359
31.512424,0.0101318359,3.07952881e-05,0.0101318359
31.681867,0.0502624512,3.48907471e-05,0.0502624512
31.815833,0.0502624512,3.48907471e-05,0.0502624512
31.984833,0.0803527832,3.79486084e-05,0.0803527832
32.119360,0.0803527832,3.79486084e-05,0.0803527832
32.287930,0.110595703,4.1003418e-05,0.110595703
32.421559,0.110595703,4.1003418e-05,0.110595703
32.590024,0.140777588,4.40582275e-05,0.140777588
32.724488,0.140777588,4.40582275e-05,0.140777588
32.887605,0.170959473,4.71130371e-05,0.170959473
33.021786,0.170959473,4.71130371e-05,0.170959473
33.189219,0.201141357,5.01708984e-05,0.201141357
33.323688,0.201141357,5.01708984e-05,0.201141357
33.482072,0.231292725,5.31921387e-05,0.231292725
33.626466,0.231292725,5.31921387e-05,0.231292725
33.790607,0.261474609,5.62438965e-05,0.261474609
33.929490,0.261474609,5.62438965e-05,0.261474609
34.097948,0.281585693,5.82885742e-05,0.281585693
34.231454,0.281585693,5.82885742e-05,0.281585693
34.400669,0.321777344,6.23779297e-05,0.321777344
34.534533,0.321777344,6.23779297e-05,0.321777344
34.692404,0.352020264,6.54296875e-05,0.352020264
34.831251,0.352020264,6.54296875e-05,0.352020264
35.001101,0.37210083,6.74743652e-05,0.37210083
35.134317,0.37210083,6.74743652e-05,0.37210083
35.303631,0.412414551,7.15332031e-05,0.412414551
35.438545,0.412414551,7.15332031e-05,0.412414551
35.607189,0.442626953,7.45849609e-05,0.442626953
35.740714,0.442626953,7.45849609e-05,0.442626953
35.903337,0.47277832,7.76367188e-05,0.47277832
36.042735,0.47277832,7.76367188e-05,0.47277832
36.212728,0.502868652,8.0657959e-05,0.502868652
36.346538,0.502868652,8.0657959e-05,0.502868652
36.504295,0.533081055,8.37097168e-05,0.533081055
36.648578,0.533081055,8.37097168e-05,0.533081055
36.817082,0.563262939,8.67919922e-05,0.563262939
36.951102,0.563262939,8.67919922e-05,0.563262939
37.111066,0.593475342,8.984375e-05,0.593475342
37.249372,0.593475342,8.984375e-05,0.593475342
37.418245,0.623565674,9.28955078e-05,0.623565674
37.552616,0.623565674,9.28955078e-05,0.623565674
37.715479,0.653747559,9.59472656e-05,0.653747559
37.855260,0.653747559,9.59472656e-05,0.653747559
38.024192,0.683959961,9.89990234e-05,0.683959961
38.158691,0.683959961,9.89990234e-05,0.683959961
38.326375,0.694000244,0.000100006104,0.694000244
38.460030,0.694000244,0.000100006104,0.694000244
38.623057,0.663818359,9.69238281e-05,0.663818359
38.767783,0.663818359,9.69238281e-05,0.663818359
38.931582,0.633605957,9.39025879e-05,0.633605957
39.065213,0.633605957,9.39025879e-05,0.633605957
39.228594,0.60345459,9.08508301e-05,0.60345459
39.367379,0.60345459,9.08508301e-05,0.60345459
39.536652,0.583374023,8.88366699e-05,0.583374023
39.670801,0.583374023,8.88366699e-05,0.583374023
39.838923,0.543121338,8.4777832e-05,0.543121338
39.972026,0.543121338,8.4777832e-05,0.543121338
40.135667,0.512969971,8.17260742e-05,0.512969971
40.279528,0.512969971,8.17260742e-05,0.512969971
40.432014,0.482818604,7.86743164e-05,0.482818604
40.572402,0.482818604,7.86743164e-05,0.482818604
40.740330,0.452575684,7.56225586e-05,0.452575684
40.883831,0.452575684,7.56225586e-05,0.452575684
41.052212,0.432525635,7.35778809e-05,0.432525635
41.186192,0.432525635,7.35778809e-05,0.432525635
41.345170,0.392242432,6.9519043e-05,0.392242432
41.513249,0.392242432,6.9519043e-05,0.392242432
41.657189,0.362091064,6.64672852e-05,0.362091064
41.810866,0.362091064,6.64672852e-05,0.362091064
41.944438,0.33190918,6.34155273e-05,0.33190918
42.082930,0.33190918,6.34155273e-05,0.33190918
42.241644,0.301696777,6.03942871e-05,0.301696777
42.385889,0.301696777,6.03942871e-05,0.301696777
42.555333,0.271514893,5.73425293e-05,0.271514893
42.689026,0.271514893,5.73425293e-05,0.271514893
42.852300,0.241333008,5.42907715e-05,0.241333008
42.992413,0.241333008,5.42907715e-05,0.241333008
43.160719,0.211151123,5.12390137e-05,0.211151123
43.295156,0.211151123,5.12390137e-05,0.211151123
43.462635,0.180969238,4.81994629e-05,0.180969238
43.597209,0.180969238,4.81994629e-05,0.180969238
43.760151,0.150848389,4.51599121e-05,0.150848389
43.904099,0.150848389,4.51599121e-05,0.150848389
44.071894,0.130737305,4.31335449e-05,0.130737305
44.205598,0.130737305,4.31335449e-05,0.130737305
44.368696,0.0904846191,3.90960693e-05,0.0904846191
44.502858,0.0904846191,3.90960693e-05,0.0904846191
44.666752,0.060333252,3.60565186e-05,0.060333252
44.806086,0.060333252,3.60565186e-05,0.060333252
44.975179,0.0303039551,3.3001709e-05,0.0303039551
45.109022,0.0303039551,3.3001709e-05,0.0303039551
45.271563,0.000100708008,2.99499512e-05,0.000100708008
45.406987,0.000100708008,2.99499512e-05,0.000100708008
45.570259,-0.0300445557,2.69104004e-05,-0.0300445557
45.709119,-0.0300445557,2.69104004e-05,-0.0300445557
45.877093,-0.0603637695,2.38739014e-05,-0.0603637695
46.010506,-0.0603637695,2.38739014e-05,-0.0603637695
46.174031,-0.0905151367,2.08374023e-05,-0.0905151367
46.312863,-0.0905151367,2.08374023e-05,-0.0905151367
46.476664,-0.120758057,1.78131104e-05,-0.120758057
46.615885,-0.120758057,1.78131104e-05,-0.120758057
46.778457,-0.150909424,1.47979736e-05,-0.150909424
46.917726,-0.150909424,1.47979736e-05,-0.150909424
47.085816,-0.180999756,1.17645264e-05,-0.180999756
47.220064,-0.180999756,1.17645264e-05,-0.180999756
47.382691,-0.211181641,8.71276855e-06,-0.211181641
47.521703,-0.211181641,8.71276855e-06,-0.211181641
47.690712,-0.231323242,6.67114258e-06,-0.231323242
47.825834,-0.231323242,6.67114258e-06,-0.231323242
47.990187,-0.271575928,2.58331299e-06,-0.271575928
48.124792,-0.271575928,2.58331299e-06,-0.271575928
48.283664,-0.301727295,-4.6875e-07,-0.301727295
48.427717,-0.301727295,-4.6875e-07,-0.301727295
48.590638,-0.33190918,-3.52661133e-06,-0.33190918
48.759789,-0.33190918,-3.52661133e-06,-0.33190918
48.903938,-0.362030029,-6.60095215e-06,-0.362030029
49.081650,-0.362030029,-6.60095215e-06,-0.362030029
49.215745,-0.392211914,-9.67102051e-06,-0.392211914
49.368404,-0.392211914,-9.67102051e-06,-0.392211914
49.512569,-0.422363281,-1.2689209e-05,-0.422363281
49.666793,-0.422363281,-1.2689209e-05,-0.422363281
49.810464,-0.452392578,-1.57653809e-05,-0.452392578
49.944873,-0.452392578,-1.57653809e-05,-0.452392578
50.098504,-0.48248291,-1.88415527e-05,-0.48248291
50.242708,-0.48248291,-1.88415527e-05,-0.48248291
50.405566,-0.492553711,-1.98791504e-05,-0.492553711
50.549606,-0.492553711,-1.98791504e-05,-0.492553711
50.717374,-0.462463379,-1.68518066e-05,-0.462463379
50.851344,-0.462463379,-1.68518066e-05,-0.462463379
51.014497,-0.432281494,-1.38183594e-05,-0.432281494
51.148586,-0.432281494,-1.38183594e-05,-0.432281494
51.316702,-0.402191162,-1.07849121e-05,-0.402191162
51.450947,-0.402191162,-1.07849121e-05,-0.402191162
51.620808,-0.372070312,-7.74841309e-06,-0.372070312
51.754675,-0.372070312,-7.74841309e-06,-0.372070312
51.922588,-0.341949463,-4.71069336e-06,-0.341949463
52.056345,-0.341949463,-4.71069336e-06,-0.341949463
52.220401,-0.311798096,-1.67205811e-06,-0.311798096
52.384768,-0.311798096,-1.67205811e-06,-0.311798096
52.527687,-0.281616211,1.36138916e-06,-0.281616211
52.695420,-0.281616211,1.36138916e-06,-0.281616211
52.829769,-0.251434326,4.40856934e-06,-0.251434326
52.968359,-0.251434326,4.40856934e-06,-0.251434326
53.131508,-0.231445312,6.43310547e-06,-0.231445312
53.266467,-0.231445312,6.43310547e-06,-0.231445312
53.434207,-0.20135498,9.46044922e-06,-0.20135498
53.568735,-0.20135498,9.46044922e-06,-0.20135498
53.731226,-0.16116333,1.35406494e-05,-0.16116333
53.895732,-0.16116333,1.35406494e-05,-0.16116333
54.039861,-0.131011963,1.66015625e-05,-0.131011963
54.173651,-0.131011963,1.66015625e-05,-0.131011963
54.331833,-0.100921631,1.96563721e-05,-0.100921631
54.470773,-0.100921631,1.96563721e-05,-0.100921631
54.638616,-0.0708007812,2.26959229e-05,-0.0708007812
54.802372,-0.0708007812,2.26959229e-05,-0.0708007812
54.946208,-0.0401519775,2.57263184e-05,-0.0401519775
55.108917,-0.0401519775,2.57263184e-05,-0.0401519775
55.258415,-0.00996704102,2.87506104e-05,-0.00996704102
55.426167,-0.295074463,2.59399414e-09,-0.295074463
55.587308,-0.294067383,4.05883789e-09,-0.294067383
55.780929,-0.294708252,-2.62451172e-09,-0.294708252
55.981303,-0.294647217,-2.6550293e-09,-0.294647217
56.186051,-0.293762207,4.24194336e-09,-0.293762207
56.390423,-0.294372559,-2.6550293e-09,-0.294372559
56.566346,-0.293518066,2.01416016e-09,-0.293518066
56.767384,-0.293640137,5.18798828e-09,-0.293640137
56.917424,-0.293609619,5.12695313e-09,-0.293609619
